obligor_id,facility_id,obligor_name,obligor_type,tin,industry,sub_industry,country,credit_score,exposure_amount,outstanding_amount,status,risk_grade,created_date,review_date
OBL-00148,FAC-0015,Vantage Solutions N.V.,Non-Profit Organization,33-9569884,Technology,Hardware,United States,570,896115007.16,145205082.11,Active,Sub-Investment Grade,2023-05-17,2025-01-06
OBL-00149,FAC-0030,Titan Properties S.A.,Non-Profit Organization,29-2615622,Telecommunications,Wireless,Netherlands,481,245213457.9,25291710.4,Active,Distressed,2017-07-13,2019-06-28
OBL-00150,FAC-0032,Stellar Pharmaceuticals S.A.,Corporate,15-9888846,Government,Federal Agency,United States,739,779066251.11,96458061.33,Active,High Yield,2023-02-26,2023-08-26
OBL-00151,FAC-0048,Premier Analytics AG,Financial Institution,42-4171246,Retail & Consumer,Luxury Goods,Mexico,305,97255212.26,44084248.67,Defaulted,Investment Grade,2019-10-31,2020-07-22
OBL-00152,FAC-0035,Summit Partners LLC,Financial Institution,93-5255251,Government,Municipal,Chile,567,35112489.16,21833606.39,Restructuring,Distressed,2021-08-03,2023-03-24
OBL-00153,FAC-0058,United Financial AG,Special Purpose Vehicle,71-5257682,Retail & Consumer,Luxury Goods,India,614,394574473.4,76353703.14,Watchlist,Sub-Investment Grade,2022-01-08,2023-11-13
OBL-00154,FAC-0072,Allied Pharmaceuticals S.A.,Non-Profit Organization,53-1873301,Retail & Consumer,Grocery,Canada,464,702717303.34,466847338.38,Active,Investment Grade,2018-12-05,2019-09-13
OBL-00155,FAC-0024,Vantage Industries S.A.,Financial Institution,88-9741022,Technology,Hardware,United States,593,185023502.74,46244292.86,Defaulted,Distressed,2020-06-08,2021-02-24
OBL-00156,FAC-0051,National Analytics AG,Special Purpose Vehicle,99-4886793,Banking & Finance,Investment Banking,United States,473,58544776.84,47306477.83,Defaulted,Investment Grade,2020-12-16,2021-12-30
OBL-00157,FAC-0071,Pinnacle Energy N.V.,Corporate,76-1257807,Manufacturing,Aerospace,Canada,370,180021541.97,47190851.8,Active,Distressed,2022-09-14,2024-03-08
OBL-00158,FAC-0069,Pinnacle Consulting Inc.,Corporate,32-7830585,Real Estate,Development,China,818,240732963.61,138673077.22,Active,Distressed,2018-07-01,2020-04-06
OBL-00159,FAC-0020,Nexus Energy N.V.,Financial Institution,41-6698561,Technology,Semiconductors,Japan,769,1189185035.8,1080819220.03,Defaulted,High Yield,2021-08-05,2022-10-15
OBL-00160,FAC-0010,Apex Healthcare Group,Special Purpose Vehicle,78-1163128,Government,Federal Agency,United States,569,251097070.3,91283724.39,Active,Sub-Investment Grade,2019-06-22,2020-08-10
OBL-00161,FAC-0058,Allied Consulting PLC,Corporate,97-4190481,Technology,Cloud Services,Japan,810,541081950.41,91746645.43,Defaulted,Investment Grade,2019-05-08,2020-10-31
OBL-00162,FAC-0100,Atlantic Innovations Corp.,Corporate,20-9265544,Healthcare,Medical Devices,Australia,306,326840781.87,259247969.35,Restructuring,Distressed,2023-04-17,2024-10-12
OBL-00163,FAC-0032,Vector Enterprises AG,Corporate,60-4726098,Banking & Finance,Insurance,South Korea,431,523166295.96,446373404.65,Active,Distressed,2023-01-28,2024-05-03
OBL-00164,FAC-0068,Nexus Partners AG,Financial Institution,50-1141240,Retail & Consumer,Food & Beverage,Chile,312,194739901.7,159176524.99,Defaulted,Investment Grade,2023-05-17,2024-05-09
OBL-00165,FAC-0044,Continental Systems GmbH,Special Purpose Vehicle,53-7139188,Retail & Consumer,E-Commerce,Singapore,488,665519717.83,164194183.44,Active,High Yield,2022-12-22,2024-03-15
OBL-00166,FAC-0088,Horizon Properties Ltd.,Non-Profit Organization,22-5528994,Healthcare,Biotech,Singapore,541,1547421557.85,411069527.55,Watchlist,High Yield,2019-02-07,2019-12-18
OBL-00167,FAC-0036,Stellar Aerospace LLC,Non-Profit Organization,90-9673937,Retail & Consumer,Grocery,South Africa,846,1524636700.26,216606133.73,Defaulted,Sub-Investment Grade,2016-01-22,2017-01-16
OBL-00168,FAC-0067,National Technologies PLC,Financial Institution,90-2615677,Telecommunications,Media,South Korea,760,1672726387.27,75814381.26,Defaulted,Sub-Investment Grade,2020-09-25,2021-09-07
OBL-00169,FAC-0037,Stellar Partners Group,Non-Profit Organization,96-4337963,Real Estate,Development,South Korea,478,227342995.69,174943865.2,Restructuring,Sub-Investment Grade,2022-10-26,2023-05-14
OBL-00170,FAC-0064,Atlantic Enterprises Group,Financial Institution,90-7790959,Manufacturing,Consumer Goods,United States,373,1068083250.18,386664773.01,Active,Investment Grade,2021-01-07,2022-10-23
OBL-00171,FAC-0091,International Logistics Group,Government Entity,85-9739850,Manufacturing,Aerospace,Singapore,761,1043670992.19,704385879.28,Active,Investment Grade,2021-05-14,2022-12-19
OBL-00172,FAC-0044,Allied Enterprises S.A.,Corporate,22-2070258,Energy,Oil & Gas,UAE,784,271316483.04,64862182.64,Watchlist,Investment Grade,2023-04-01,2023-12-18
OBL-00173,FAC-0095,Continental Resources PLC,Financial Institution,90-3120836,Banking & Finance,Insurance,United States,434,253983492.09,37465268.46,Watchlist,Investment Grade,2022-04-09,2023-08-18
OBL-00174,FAC-0009,Meridian Logistics LLC,Government Entity,79-3970181,Banking & Finance,Retail Banking,China,767,118277659.8,97109398.75,Defaulted,Distressed,2022-07-07,2023-10-08
OBL-00175,FAC-0060,Summit Healthcare PLC,Corporate,48-1177097,Retail & Consumer,Luxury Goods,Hong Kong,300,672458690.82,514076094.43,Watchlist,Investment Grade,2022-04-27,2023-09-04
OBL-00176,FAC-0038,Global Innovations S.A.,Non-Profit Organization,47-4879150,Manufacturing,Consumer Goods,United States,307,913154515.27,426749130.6,Watchlist,Sub-Investment Grade,2022-10-21,2024-02-19
OBL-00177,FAC-0037,Continental Systems Corp.,Financial Institution,90-5019180,Healthcare,Biotech,United States,829,107422306.45,72960272.75,Restructuring,Distressed,2022-12-12,2024-07-01
OBL-00178,FAC-0097,Pacific Manufacturing GmbH,Special Purpose Vehicle,67-5565653,Real Estate,Development,Hong Kong,803,137610188.41,8950270.56,Active,Sub-Investment Grade,2022-08-26,2023-12-15
OBL-00179,FAC-0096,Atlantic Infrastructure GmbH,Government Entity,11-4905912,Banking & Finance,Investment Banking,Chile,392,64010143.69,59127192.27,Active,Investment Grade,2019-03-17,2020-06-14
OBL-00180,FAC-0082,National Ventures Corp.,Non-Profit Organization,28-1940167,Telecommunications,Broadband,Hong Kong,572,194520635.76,147736328.72,Restructuring,High Yield,2020-08-24,2022-06-09
OBL-00181,FAC-0096,Pacific Innovations Ltd.,Financial Institution,66-5146693,Technology,Cloud Services,Germany,334,1234514267.7,293290336.02,Active,High Yield,2020-04-27,2020-11-05
OBL-00182,FAC-0091,National Services AG,Special Purpose Vehicle,25-5249882,Technology,Hardware,United States,792,1087390987.36,322415665.65,Defaulted,Sub-Investment Grade,2019-10-14,2020-09-20
OBL-00183,FAC-0005,Global Enterprises PLC,Special Purpose Vehicle,25-7640561,Healthcare,Hospitals,Canada,548,884255556.43,198221398.03,Active,Investment Grade,2021-06-02,2022-10-27
OBL-00184,FAC-0054,American Properties N.V.,Corporate,90-2007511,Government,Municipal,United States,361,188959376.71,16062663.32,Active,Investment Grade,2021-08-25,2023-07-17
OBL-00185,FAC-0054,Nexus Services Ltd.,Corporate,98-7337911,Transportation,Airlines,Netherlands,666,122937748.56,114650751.64,Defaulted,Investment Grade,2023-06-02,2024-11-18
OBL-00186,FAC-0036,Horizon Enterprises AG,Corporate,51-8858359,Real Estate,Commercial REIT,United States,581,905171574.23,466704085.76,Restructuring,Distressed,2021-06-12,2022-06-21
OBL-00187,FAC-0008,Nexus Capital AG,Financial Institution,33-1314067,Transportation,Shipping,Chile,672,316338713.57,88856073.82,Restructuring,Distressed,2021-06-14,2022-12-21
OBL-00188,FAC-0038,Vantage Dynamics Group,Financial Institution,92-6402667,Healthcare,Hospitals,Chile,413,1081190495.29,195020794.97,Active,Distressed,2023-01-12,2023-12-15
OBL-00189,FAC-0099,Pacific Industries N.V.,Government Entity,59-9219319,Technology,Software,Germany,838,984317052.16,188964342.13,Watchlist,Distressed,2023-01-21,2024-02-01
OBL-00190,FAC-0097,American Logistics Inc.,Corporate,81-7978536,Real Estate,Commercial REIT,Australia,677,406820758.94,27391348.65,Restructuring,Investment Grade,2022-10-02,2024-08-15
OBL-00191,FAC-0023,Pacific Partners Ltd.,Special Purpose Vehicle,59-4178618,Government,State Authority,United States,497,769540532.47,56975708.37,Watchlist,Investment Grade,2021-08-20,2023-08-01
OBL-00192,FAC-0044,Nexus Infrastructure S.A.,Corporate,31-4026551,Government,Municipal,Switzerland,711,807726786.52,318587936.82,Watchlist,Sub-Investment Grade,2022-05-10,2023-11-07
OBL-00193,FAC-0080,Stellar Services Group,Special Purpose Vehicle,40-4589118,Energy,Mining,Singapore,684,1097922564.03,1039741230.25,Restructuring,Distressed,2022-05-22,2024-01-14
OBL-00194,FAC-0072,Vantage Capital AG,Corporate,48-1110206,Real Estate,Development,United States,607,1466435787.05,272531.9,Active,Investment Grade,2017-07-02,2018-10-16
OBL-00195,FAC-0053,National Logistics Group,Corporate,27-5445763,Manufacturing,Automotive,South Korea,675,90592352.13,49113266.23,Watchlist,Investment Grade,2022-12-17,2023-09-19
OBL-00196,FAC-0019,Apex Aerospace LLC,Financial Institution,98-2599943,Healthcare,Hospitals,Japan,607,1077116317.54,582301672.83,Active,Distressed,2022-12-18,2023-09-03
OBL-00197,FAC-0076,Continental Services N.V.,Corporate,91-7417066,Retail & Consumer,E-Commerce,Brazil,355,461929218.71,358588545.72,Active,Distressed,2023-05-14,2024-03-12
OBL-00198,FAC-0039,Nexus Innovations N.V.,Special Purpose Vehicle,74-2511341,Banking & Finance,Asset Management,France,527,138189415.06,28986240.81,Active,Sub-Investment Grade,2020-03-30,2021-11-02
OBL-00199,FAC-0066,International Holdings S.A.,Special Purpose Vehicle,65-3187332,Retail & Consumer,Grocery,France,438,22255598.54,12081864.75,Active,Distressed,2018-07-04,2020-02-12
OBL-00200,FAC-0030,Continental Holdings PLC,Non-Profit Organization,65-6425946,Healthcare,Biotech,United States,391,350017895.01,331545640.61,Active,High Yield,2021-02-21,2022-04-29
OBL-00201,FAC-0022,United Financial N.V.,Non-Profit Organization,66-3446428,Retail & Consumer,Luxury Goods,Australia,751,353430588.33,199399632.67,Active,Investment Grade,2018-08-28,2020-01-02
OBL-00202,FAC-0067,Vantage Solutions PLC,Corporate,53-2866934,Healthcare,Hospitals,South Africa,612,1426748187.8,116313816.37,Active,High Yield,2020-06-26,2021-08-28
OBL-00203,FAC-0049,Meridian Aerospace N.V.,Government Entity,28-1308508,Banking & Finance,Asset Management,UAE,685,134018968.13,25947584.67,Watchlist,Distressed,2022-06-10,2023-08-28
OBL-00204,FAC-0017,Nexus Manufacturing Inc.,Corporate,59-5551832,Banking & Finance,Asset Management,United Kingdom,668,116175283.76,87099987.43,Restructuring,Investment Grade,2020-02-06,2020-09-27
OBL-00205,FAC-0063,Vector Analytics AG,Corporate,33-4336572,Banking & Finance,Asset Management,United States,812,1468895751.18,709643096.53,Active,Distressed,2017-07-05,2018-11-20
OBL-00206,FAC-0042,Global Financial Group,Corporate,90-6072192,Banking & Finance,Retail Banking,Switzerland,541,133838522.11,62293293.57,Watchlist,Sub-Investment Grade,2023-06-10,2024-05-15
OBL-00207,FAC-0009,Apex Energy LLC,Corporate,58-9736195,Banking & Finance,Asset Management,United States,532,121906052.27,109917883.92,Active,Investment Grade,2021-11-01,2022-10-02
OBL-00208,FAC-0062,Atlantic Consulting AG,Government Entity,35-3317095,Government,Federal Agency,United States,616,1466668785.28,458804064.88,Defaulted,Distressed,2018-12-30,2020-01-25
OBL-00209,FAC-0084,Meridian Biotech Corp.,Corporate,50-3441467,Energy,Mining,UAE,330,495756113.95,431930743.95,Restructuring,Sub-Investment Grade,2022-12-25,2023-08-31
OBL-00210,FAC-0025,Allied Partners LLC,Corporate,13-5477211,Retail & Consumer,Food & Beverage,Hong Kong,536,317961311.66,248204920.98,Watchlist,Investment Grade,2022-01-05,2022-12-06
OBL-00211,FAC-0040,Summit Enterprises S.A.,Financial Institution,70-3307080,Healthcare,Pharmaceuticals,Japan,467,361793480.61,163809997.25,Active,Investment Grade,2022-04-03,2024-01-23
OBL-00212,FAC-0100,Allied Holdings LLC,Financial Institution,88-9219877,Banking & Finance,Insurance,Brazil,632,1251504057.16,264601124.74,Restructuring,High Yield,2022-10-30,2023-11-21
OBL-00213,FAC-0016,Vantage Services N.V.,Special Purpose Vehicle,78-9811906,Healthcare,Biotech,United States,339,120870183.99,94654902.29,Watchlist,Investment Grade,2021-12-27,2023-08-02
OBL-00214,FAC-0045,Titan Innovations Inc.,Corporate,47-8374490,Telecommunications,Cable,Canada,707,347651606.0,130658124.47,Active,Sub-Investment Grade,2019-12-12,2021-07-10
OBL-00215,FAC-0068,Nexus Manufacturing GmbH,Corporate,74-2898704,Telecommunications,Broadband,United States,484,333561376.98,17284928.23,Restructuring,Distressed,2023-03-12,2024-01-31
OBL-00216,FAC-0056,Nexus Holdings PLC,Corporate,98-3751363,Transportation,Shipping,United States,426,193139130.62,4570928.62,Active,Investment Grade,2022-08-21,2023-09-11
OBL-00217,FAC-0044,Pinnacle Biotech S.A.,Corporate,31-6623607,Telecommunications,Media,Chile,453,764032264.85,527587309.91,Active,Investment Grade,2022-12-03,2023-11-11
OBL-00218,FAC-0006,United Partners LLC,Corporate,10-5246497,Energy,Oil & Gas,United States,312,302466551.2,220860743.35,Active,High Yield,2021-02-19,2022-06-09
OBL-00219,FAC-0091,Nexus Holdings N.V.,Special Purpose Vehicle,10-5105605,Telecommunications,Wireless,United States,584,372952474.45,233653640.04,Watchlist,Distressed,2020-07-08,2022-02-27
OBL-00220,FAC-0092,Horizon Analytics PLC,Corporate,21-1822609,Healthcare,Pharmaceuticals,Germany,411,93491945.74,30999016.14,Active,Investment Grade,2017-02-11,2017-09-12
OBL-00221,FAC-0052,Premier Ventures Group,Financial Institution,18-8169304,Energy,Utilities,Netherlands,366,44839350.58,15343093.79,Active,High Yield,2017-10-11,2018-07-13
OBL-00222,FAC-0059,Vantage Industries Corp.,Special Purpose Vehicle,90-9874251,Energy,Oil & Gas,Singapore,389,128611597.73,64101807.85,Active,Distressed,2022-10-23,2023-11-21
OBL-00223,FAC-0069,Vantage Consulting GmbH,Special Purpose Vehicle,90-9350710,Real Estate,Property Management,Singapore,804,439027373.88,415000774.94,Restructuring,Investment Grade,2020-04-14,2021-02-20
OBL-00224,FAC-0015,Allied Analytics S.A.,Financial Institution,15-6600104,Government,Federal Agency,Australia,658,27318630.56,622522.14,Watchlist,Investment Grade,2022-10-19,2023-08-15
OBL-00225,FAC-0004,Global Partners Group,Corporate,60-1488508,Banking & Finance,Investment Banking,Singapore,479,878943728.95,256989014.5,Active,Sub-Investment Grade,2022-11-02,2024-03-27
OBL-00226,FAC-0029,Apex Logistics S.A.,Government Entity,17-9742158,Manufacturing,Industrial Equipment,United States,606,1218548878.34,557389538.14,Watchlist,Sub-Investment Grade,2021-12-13,2023-12-12
OBL-00227,FAC-0079,Atlantic Systems Inc.,Corporate,58-9963616,Transportation,Airlines,Switzerland,469,347854090.62,264215554.53,Watchlist,Distressed,2022-05-27,2023-01-29
OBL-00228,FAC-0068,Stellar Holdings GmbH,Corporate,57-8581730,Retail & Consumer,Grocery,Brazil,609,381671635.46,114033724.75,Active,Distressed,2022-11-08,2024-02-09
OBL-00229,FAC-0032,Titan Capital GmbH,Special Purpose Vehicle,29-4191222,Real Estate,Residential REIT,Brazil,648,1243398019.36,918747880.61,Active,Distressed,2021-09-21,2023-06-17
OBL-00230,FAC-0067,Allied Services Inc.,Financial Institution,59-9763492,Real Estate,Development,South Africa,418,1697883231.32,1326100443.3,Active,Sub-Investment Grade,2023-01-28,2023-12-09
OBL-00231,FAC-0007,Global Consulting PLC,Government Entity,36-6383479,Banking & Finance,Retail Banking,Hong Kong,505,1281199427.7,125490521.79,Active,Sub-Investment Grade,2023-04-14,2024-08-25
OBL-00232,FAC-0023,Vantage Biotech AG,Corporate,36-6877363,Real Estate,Development,United States,626,266888655.7,39932204.68,Active,Investment Grade,2021-05-08,2021-11-19
OBL-00233,FAC-0013,National Solutions Inc.,Financial Institution,96-1846511,Real Estate,Residential REIT,United Kingdom,408,610515884.14,517492158.55,Active,Investment Grade,2021-07-11,2023-04-06
OBL-00234,FAC-0071,Vantage Financial PLC,Corporate,35-9950391,Technology,Cloud Services,United States,380,1168817548.08,989651960.49,Restructuring,High Yield,2023-05-07,2025-02-01
OBL-00235,FAC-0097,Vector Resources Ltd.,Corporate,88-5329406,Government,Federal Agency,Mexico,672,79164552.32,23343417.81,Active,Investment Grade,2023-05-13,2025-02-27
OBL-00236,FAC-0063,Nexus Enterprises PLC,Non-Profit Organization,54-3137316,Manufacturing,Consumer Goods,United States,820,81675036.76,36881803.92,Active,High Yield,2020-05-02,2022-03-03
OBL-00237,FAC-0004,Vantage Resources AG,Corporate,71-7439371,Technology,Semiconductors,Brazil,367,601579330.97,229066761.41,Active,Investment Grade,2021-10-16,2022-12-14
OBL-00238,FAC-0004,Pacific Consulting N.V.,Financial Institution,51-2638360,Government,State Authority,United States,755,614271962.31,137809828.18,Active,Sub-Investment Grade,2018-01-11,2019-11-20
OBL-00239,FAC-0018,American Technologies LLC,Special Purpose Vehicle,91-1003092,Retail & Consumer,E-Commerce,Chile,450,24466657.98,8807151.86,Defaulted,Investment Grade,2022-04-30,2022-12-28
OBL-00240,FAC-0005,Horizon Properties PLC,Financial Institution,54-2497994,Telecommunications,Media,United States,308,195905055.62,126836955.04,Watchlist,Distressed,2020-10-04,2022-02-02
OBL-00241,FAC-0019,Meridian Financial Corp.,Non-Profit Organization,46-1523193,Retail & Consumer,Grocery,Japan,540,713461267.57,372027871.05,Active,Distressed,2022-11-06,2023-05-05
OBL-00242,FAC-0092,Vector Solutions Ltd.,Special Purpose Vehicle,59-7044627,Retail & Consumer,Luxury Goods,United States,727,471724242.84,244288460.14,Active,Sub-Investment Grade,2022-11-30,2023-11-22
OBL-00243,FAC-0080,Atlantic Holdings LLC,Government Entity,63-8650891,Energy,Renewable Energy,United States,735,1285399146.43,175837580.06,Watchlist,Investment Grade,2022-09-17,2024-06-05
OBL-00244,FAC-0095,Horizon Aerospace Ltd.,Government Entity,74-5517272,Telecommunications,Cable,United States,720,335844574.67,59277065.15,Watchlist,Distressed,2023-06-23,2023-12-27
OBL-00245,FAC-0078,American Solutions AG,Non-Profit Organization,45-8800337,Manufacturing,Automotive,Chile,829,252780550.72,88511026.12,Active,Distressed,2021-06-24,2023-04-28
OBL-00246,FAC-0074,Vantage Industries Group,Special Purpose Vehicle,11-8866313,Government,Federal Agency,Netherlands,764,924933446.81,583216870.15,Watchlist,High Yield,2020-09-13,2022-01-25
OBL-00247,FAC-0071,United Industries N.V.,Government Entity,48-5369510,Government,Municipal,Hong Kong,362,605848431.48,562755940.43,Defaulted,High Yield,2022-05-29,2023-09-17
OBL-00248,FAC-0051,American Solutions AG,Corporate,45-5228713,Government,Federal Agency,Brazil,435,1344040122.16,797151749.1,Watchlist,Sub-Investment Grade,2020-12-19,2022-10-26
OBL-00249,FAC-0007,Nexus Financial LLC,Corporate,99-4962709,Real Estate,Development,United States,796,881551555.83,762211438.36,Active,Distressed,2023-03-31,2024-02-28
OBL-00250,FAC-0057,Pinnacle Resources GmbH,Government Entity,91-3806547,Banking & Finance,Asset Management,Canada,515,845155866.71,659760429.99,Watchlist,Sub-Investment Grade,2020-09-12,2022-05-07
OBL-00251,FAC-0096,Meridian Resources S.A.,Government Entity,59-8962291,Banking & Finance,Asset Management,United States,568,258926446.3,98083296.02,Active,Distressed,2019-06-04,2021-04-01
OBL-00252,FAC-0047,Pacific Biotech Group,Non-Profit Organization,65-5573311,Retail & Consumer,E-Commerce,China,643,876913336.94,565230920.29,Active,Sub-Investment Grade,2022-02-08,2022-09-18
OBL-00253,FAC-0044,Titan Ventures LLC,Corporate,80-1177469,Technology,Semiconductors,United States,308,832700392.85,592579881.68,Restructuring,Investment Grade,2023-03-27,2024-04-09
OBL-00254,FAC-0067,International Technologies Inc.,Corporate,89-2542518,Banking & Finance,Insurance,Chile,358,245094826.61,103833220.66,Watchlist,Investment Grade,2021-05-30,2022-09-12
OBL-00255,FAC-0050,Pacific Infrastructure LLC,Corporate,47-8834214,Government,Municipal,United States,377,209895905.09,120575016.5,Defaulted,High Yield,2021-12-27,2022-12-31
OBL-00256,FAC-0099,Pinnacle Energy Group,Corporate,43-5440339,Real Estate,Property Management,Singapore,482,205380806.43,14437697.07,Active,Investment Grade,2023-06-19,2024-02-17
OBL-00257,FAC-0030,Allied Analytics Corp.,Financial Institution,43-2732870,Telecommunications,Broadband,United States,335,400310197.46,41235531.19,Active,Investment Grade,2021-04-29,2023-01-10
OBL-00258,FAC-0088,National Properties S.A.,Corporate,29-6533643,Government,Municipal,China,700,829173005.65,706195681.65,Watchlist,Investment Grade,2018-12-05,2019-06-03
OBL-00259,FAC-0084,Global Energy GmbH,Corporate,82-9980912,Transportation,Rail,United States,667,222134514.96,153579149.95,Active,Sub-Investment Grade,2022-08-20,2023-10-05
OBL-00260,FAC-0064,Premier Manufacturing Ltd.,Corporate,80-1659867,Retail & Consumer,E-Commerce,Brazil,693,653806931.98,596846779.03,Defaulted,Investment Grade,2018-09-16,2020-06-27
OBL-00261,FAC-0009,Atlantic Industries Ltd.,Corporate,85-5001116,Real Estate,Property Management,Brazil,800,64379208.67,54139917.44,Active,Investment Grade,2022-06-07,2023-06-16
OBL-00262,FAC-0022,Apex Services Inc.,Financial Institution,25-4551370,Transportation,Logistics,United States,835,1012413559.64,15790990.55,Active,Distressed,2020-06-03,2021-01-26
OBL-00263,FAC-0077,Vantage Industries Ltd.,Government Entity,93-3190059,Energy,Renewable Energy,United States,314,363546476.49,168849152.88,Active,Investment Grade,2017-03-06,2018-12-28
OBL-00264,FAC-0064,Vector Analytics N.V.,Corporate,18-4399754,Real Estate,Commercial REIT,United States,736,1004740574.52,61047770.61,Active,High Yield,2018-12-31,2019-10-23
OBL-00265,FAC-0016,Apex Holdings Corp.,Corporate,28-7965133,Manufacturing,Automotive,France,472,164461969.9,123913309.82,Defaulted,Sub-Investment Grade,2020-06-28,2021-06-20
OBL-00266,FAC-0065,United Capital GmbH,Corporate,10-1121198,Transportation,Shipping,United States,483,963605197.78,37256782.84,Active,Distressed,2021-11-04,2023-05-23
OBL-00267,FAC-0071,Stellar Resources LLC,Special Purpose Vehicle,98-1631179,Real Estate,Property Management,United States,484,370979672.1,225494213.28,Defaulted,High Yield,2023-01-18,2024-10-20
OBL-00268,FAC-0020,Titan Partners N.V.,Corporate,79-9515120,Government,Federal Agency,Singapore,524,637842730.13,337944950.05,Active,Investment Grade,2017-09-18,2018-07-15
OBL-00269,FAC-0097,United Enterprises Inc.,Corporate,92-7110145,Real Estate,Commercial REIT,United Kingdom,591,529627658.0,344777842.57,Active,High Yield,2023-02-15,2025-01-04
OBL-00270,FAC-0021,United Capital GmbH,Special Purpose Vehicle,24-2188825,Real Estate,Development,United States,540,151016192.18,7525703.25,Defaulted,High Yield,2022-05-16,2023-05-11
OBL-00271,FAC-0071,Pacific Ventures Ltd.,Corporate,40-7922203,Government,Municipal,Hong Kong,504,359122433.14,230919286.49,Active,Investment Grade,2022-06-30,2023-08-19
OBL-00272,FAC-0039,United Energy Group,Corporate,68-4257379,Technology,Cloud Services,United States,667,239752327.05,33012506.88,Active,Investment Grade,2023-05-19,2025-02-22
OBL-00273,FAC-0014,Stellar Enterprises Group,Corporate,47-3630468,Manufacturing,Aerospace,Chile,474,56340769.35,7306069.52,Watchlist,Distressed,2022-09-09,2024-06-19
OBL-00274,FAC-0095,International Capital S.A.,Government Entity,41-5157921,Healthcare,Pharmaceuticals,United States,635,782721193.2,160943502.82,Active,Distressed,2022-09-27,2024-07-11
OBL-00275,FAC-0082,National Healthcare AG,Financial Institution,71-2644153,Healthcare,Medical Devices,Mexico,763,580200046.41,22079945.49,Active,Investment Grade,2021-10-04,2023-08-31
OBL-00276,FAC-0078,Global Aerospace PLC,Corporate,68-1409590,Technology,Software,United States,765,78655620.31,22102300.63,Active,Investment Grade,2021-11-09,2022-08-08
OBL-00277,FAC-0026,Pinnacle Infrastructure Group,Special Purpose Vehicle,14-5975954,Retail & Consumer,Grocery,India,736,319308878.22,192138429.85,Restructuring,Sub-Investment Grade,2023-06-21,2024-02-28
OBL-00278,FAC-0047,Titan Properties Group,Corporate,24-7424918,Government,Municipal,South Africa,674,1312807868.01,773811559.86,Active,Distressed,2021-01-06,2021-08-30
OBL-00279,FAC-0014,Apex Resources AG,Corporate,93-9027788,Banking & Finance,Asset Management,Australia,514,445092736.04,298047438.27,Restructuring,Investment Grade,2019-10-07,2020-08-23
OBL-00280,FAC-0092,Summit Logistics GmbH,Special Purpose Vehicle,77-3058722,Manufacturing,Consumer Goods,South Korea,781,817706219.83,215292290.23,Defaulted,Distressed,2016-03-12,2017-09-24
OBL-00281,FAC-0092,Nexus Holdings Corp.,Financial Institution,32-5838090,Transportation,Logistics,United States,378,956345122.29,858890739.05,Active,Investment Grade,2016-03-21,2017-03-28
OBL-00282,FAC-0061,Stellar Properties AG,Corporate,70-6816664,Real Estate,Commercial REIT,Netherlands,730,154923799.67,30061933.17,Active,Investment Grade,2017-11-06,2019-03-01
OBL-00283,FAC-0043,Stellar Consulting Group,Government Entity,92-6474513,Real Estate,Residential REIT,United States,797,1056384960.18,233156478.51,Watchlist,Distressed,2022-10-20,2024-03-26
OBL-00284,FAC-0016,International Resources GmbH,Corporate,46-1793880,Transportation,Rail,United States,451,113109738.25,96524211.51,Active,Sub-Investment Grade,2021-12-14,2022-12-04
OBL-00285,FAC-0076,United Resources Corp.,Corporate,50-3121873,Telecommunications,Broadband,UAE,751,693636807.71,120114647.82,Active,Sub-Investment Grade,2023-01-10,2023-12-13
OBL-00286,FAC-0009,Meridian Dynamics Corp.,Corporate,61-9378825,Energy,Renewable Energy,Brazil,448,126165679.93,17732208.32,Active,Sub-Investment Grade,2022-06-18,2023-05-30
OBL-00287,FAC-0047,Horizon Services GmbH,Corporate,98-2884343,Energy,Oil & Gas,India,790,1351225460.5,608342159.86,Active,Investment Grade,2020-10-04,2021-08-30
OBL-00288,FAC-0058,American Ventures Inc.,Special Purpose Vehicle,92-4274069,Transportation,Airlines,Japan,839,398468759.65,318310022.73,Active,Sub-Investment Grade,2020-10-30,2022-04-28
OBL-00289,FAC-0041,Pinnacle Technologies GmbH,Corporate,87-9582482,Healthcare,Pharmaceuticals,Chile,357,1524070506.34,980297723.78,Defaulted,Sub-Investment Grade,2019-10-13,2021-09-16
OBL-00290,FAC-0019,Premier Logistics AG,Corporate,37-8452780,Retail & Consumer,Grocery,United States,725,743978526.26,8616202.46,Restructuring,High Yield,2023-01-20,2024-07-12
OBL-00291,FAC-0008,Allied Dynamics GmbH,Non-Profit Organization,77-6627359,Real Estate,Residential REIT,United States,367,289272834.29,161362480.27,Watchlist,High Yield,2020-12-15,2021-11-07
OBL-00292,FAC-0100,Allied Enterprises S.A.,Corporate,80-9230660,Technology,Software,United States,343,564494531.74,298066182.34,Restructuring,Sub-Investment Grade,2022-12-09,2023-10-25
OBL-00293,FAC-0037,Premier Manufacturing GmbH,Corporate,93-5826621,Government,State Authority,United States,727,97529131.01,73308607.15,Active,High Yield,2022-04-14,2023-07-06
OBL-00294,FAC-0062,Horizon Healthcare PLC,Government Entity,97-8986637,Healthcare,Pharmaceuticals,Brazil,422,813307082.52,749945629.92,Active,Distressed,2021-07-29,2023-06-01
